% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2023
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2023 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2023, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
196609	 -0.08782498	 -0.04527971	-99
196610	 -0.20654128	 -0.08514696	-99
196611	 -0.05410496	  0.04746479	-99
196612	 -0.02167905	  0.04354121	-99
196701	 -0.02740850	  0.01207982	-99
196702	 -0.07258040	  0.01440670	-99
196703	 -0.00863176	  0.03439735	-99
196704	 -0.00152597	  0.01885690	-99
196705	  0.01392227	  0.02423295	-99
196706	 -0.06198466	 -0.04843185	-99
196707	 -0.02837509	  0.01410713	-99
196708	  0.02907304	  0.06927702	-99
196709	  0.02354394	  0.03009158	-99
196710	 -0.03053991	 -0.04139511	-99
196711	 -0.03066846	 -0.01121177	-99
196712	  0.00159134	  0.03366738	-99
196801	 -0.02152331	  0.00218847	 -0.02540564	
196802	 -0.03459893	 -0.01898003	  0.02213928	
196803	 -0.11694312	 -0.08224146	  0.00838539	
196804	  0.02245332	  0.08741183	  0.00504472	
196805	 -0.02061391	  0.00915999	 -0.01514423	
196806	  0.00822169	  0.03293168	 -0.00026051	
196807	 -0.01049623	  0.00812572	 -0.03551518	
196808	 -0.02019994	 -0.00835085	  0.00505116	
196809	 -0.00870728	  0.01449588	  0.01300449	
196810	  0.00660634	  0.02635902	 -0.00071775	
196811	 -0.00022576	  0.01577502	 -0.00615564	
196812	 -0.02857454	 -0.01048903	  0.01175393	
196901	 -0.03378834	 -0.00746166	  0.02260170	
196902	 -0.02503033	  0.01100625	  0.05643482	
196903	 -0.02256855	  0.00649062	 -0.01703415	
196904	 -0.01274491	  0.00901991	  0.01674071	
196905	  0.01158629	  0.04595286	  0.00647644	
196906	 -0.04735751	 -0.03898224	  0.05729539	
196907	 -0.12262451	 -0.09145427	  0.03244715	
196908	 -0.08789095	 -0.04628087	 -0.01348752	
196909	  0.01326256	  0.08908592	  0.02041740	
196910	 -0.06038219	 -0.02637887	 -0.05642570	
196911	  0.01656733	  0.04037750	  0.03169597	
196912	 -0.01985261	 -0.02550906	  0.02600825	
197001	 -0.11018564	 -0.06729240	  0.02194959	
197002	 -0.08139629	 -0.01059508	 -0.05988703	
197003	 -0.13845301	 -0.06527396	  0.00277473	
197004	 -0.09427155	 -0.03056251	  0.03971232	
197005	 -0.24058807	 -0.19801369	 -0.07777586	
197006	 -0.18762334	 -0.13903036	 -0.03616947	
197007	 -0.01379573	  0.06215094	 -0.00137115	
197008	 -0.06668893	  0.00612991	  0.00208282	
197009	 -0.06687556	 -0.01465360	 -0.01567859	
197010	  0.09627156	  0.09583372	 -0.01643634	
197011	 -0.05985976	 -0.04611322	 -0.00559368	
197012	 -0.07305842	 -0.01492579	  0.04992480	
197101	  0.01775836	  0.04219694	 -0.04014598	
197102	 -0.06448822	 -0.03759379	 -0.01763190	
197103	  0.03170128	  0.06231096	  0.01863740	
197104	 -0.00998386	  0.00623843	  0.02572797	
197105	 -0.01940864	 -0.02614297	  0.00384779	
197106	 -0.04414564	 -0.01226135	 -0.04189905	
197107	 -0.10142122	 -0.03329859	 -0.00583513	
197108	 -0.04506715	 -0.00820472	  0.02469990	
197109	  0.01980991	  0.06000456	  0.00327777	
197110	 -0.05637401	 -0.01298837	  0.03220380	
197111	 -0.09198767	 -0.03768001	  0.00706075	
197112	  0.00850009	  0.04631837	 -0.00224165	
197201	 -0.09412266	 -0.08227379	 -0.03669286	
197202	 -0.03060037	  0.01702139	  0.00969740	
197203	 -0.01137246	  0.02372449	  0.03382246	
197204	 -0.00295654	  0.01783986	  0.01401382	
197205	 -0.06445359	 -0.04317672	 -0.00251954	
197206	  0.00610800	  0.00315226	  0.01461396	
197207	 -0.08959187	 -0.06733580	  0.01614596	
197208	  0.01435214	  0.02194320	 -0.02701586	
197209	 -0.01895737	  0.02570070	 -0.01634573	
197210	 -0.03986215	 -0.02359949	 -0.01902972	
197211	 -0.01686769	 -0.03252137	 -0.00816412	
197212	 -0.07355568	 -0.03559123	  0.00900269	
197301	 -0.05781599	 -0.02793230	 -0.01481267	
197302	 -0.04853245	  0.02652919	 -0.01084836	
197303	 -0.03054217	 -0.01465186	 -0.01272228	
197304	 -0.04049684	 -0.01065414	  0.02311953	
197305	 -0.11534552	 -0.06494609	 -0.00270427	
197306	 -0.20033228	 -0.16597537	 -0.03230874	
197307	 -0.09612580	 -0.01061242	  0.00247033	
197308	 -0.09691967	 -0.02984502	  0.01591954	
197309	 -0.12374937	 -0.00519418	  0.01708394	
197310	 -0.05408999	  0.02152019	 -0.04304216	
197311	 -0.30250782	 -0.24126907	 -0.02651634	
197312	 -0.13258622	 -0.08207279	 -0.01679927	
197401	 -0.16222705	 -0.07069505	  0.10075292	
197402	 -0.12089040	 -0.05709616	  0.03963822	
197403	 -0.00128850	  0.11151850	  0.04361550	
197404	 -0.04192028	 -0.00061953	  0.02164613	
197405	 -0.10176336	 -0.08413003	  0.06053269	
197406	 -0.06936954	 -0.06555384	 -0.00694888	
197407	 -0.23115673	 -0.13709725	 -0.00457639	
197408	 -0.10185960	 -0.06543558	 -0.03129645	
197409	 -0.11031084	 -0.06914572	  0.02280320	
197410	 -0.08565812	  0.00514079	 -0.07279490	
197411	 -0.08357406	  0.03157549	 -0.02532073	
197412	 -0.10467737	 -0.04452108	  0.01928950	
197501	 -0.11363563	 -0.07797004	  0.10876389	
197502	 -0.07571968	  0.01660312	  0.03662677	
197503	 -0.13072540	  0.00338409	  0.05969079	
197504	  0.00011554	  0.03224744	  0.00217849	
197505	 -0.06664547	 -0.01304310	 -0.03349678	
197506	  0.02342901	  0.02365535	 -0.01748245	
197507	 -0.05962827	 -0.02770742	 -0.00961332	
197508	 -0.12755964	 -0.12151072	 -0.00855122	
197509	 -0.08967729	 -0.05371282	 -0.01921566	
197510	 -0.06496285	  0.02349867	  0.09069118	
197511	  0.00741821	  0.02576334	  0.03623193	
197512	 -0.02442816	 -0.02112392	 -0.00279676	
197601	 -0.06026916	 -0.03415710	  0.01930918	
